"samp_session","id","treatment","prior_temp_24","prior_temp_26","prior_temp_28","prior_temp_30","prior_temp_32","prior_temp_34","lnmass_24","lnmass_26","lnmass_28","lnmass_30","lnmass_32","lnmass_34","z_lnmass_24","z_lnmass_26","z_lnmass_28","z_lnmass_30","z_lnmass_32","z_lnmass_34","lnmr_24","lnmr_26","lnmr_28","lnmr_30","lnmr_32","lnmr_34"
2,"ld0451",29,25.5,NA,34,NA,24,24.1,-1.43548460531066,NA,-1.43969513784701,NA,-1.43548460531066,-1.43969513784701,0.0332279406080199,NA,0.0128954572662731,NA,0.0332279406080199,0.0128954572662731,-6.4700373126529,NA,-6.41210140115083,NA,-5.92327049591636,-5.83539593897957
3,"ld0451",29,32,NA,22.6,28,19.4,NA,-1.43969513784701,NA,-1.65025990695436,-1.65025990695436,-1.43969513784701,NA,0.0128954572662731,NA,-1.00391289732535,-1.00391289732535,0.0128954572662731,NA,-6.37678939455248,NA,-6.32330634236941,-6.25449355162945,-6.10920596190922,NA
3,"ld0451",29,32,NA,22.6,28,19.4,NA,-1.43969513784701,NA,-1.65025990695436,-1.65025990695436,-1.43969513784701,NA,0.0128954572662731,NA,-1.00391289732535,-1.00391289732535,0.0128954572662731,NA,-6.2547714547195,NA,-5.99813006549005,-6.29777899729644,-5.94723663396416,NA
4,"ld0451",29,NA,34,21.7,NA,28,17.9,NA,-1.41469383564159,-1.41881755282545,NA,-1.41881755282545,-1.41469383564159,NA,0.133625687047391,0.113712431366967,NA,0.113712431366967,0.133625687047391,NA,-6.82065932106357,-5.94713953694178,NA,-6.59431471966684,-5.99195525799023
4,"ld0451",29,NA,34,21.7,NA,28,17.9,NA,-1.41469383564159,-1.41881755282545,NA,-1.41881755282545,-1.41469383564159,NA,0.133625687047391,0.113712431366967,NA,0.113712431366967,0.133625687047391,NA,-6.81458949969649,-6.10574456711842,NA,-6.41859781011769,-6.14594413860995
5,"ld0451",29,17,NA,32,24,24.4,NA,-1.39836694235416,NA,-1.39030238251743,-1.39836694235416,-1.39030238251743,NA,0.212467563442771,NA,0.251410981436457,0.212467563442771,0.251410981436457,NA,-7.4572088848625,NA,-6.85628921934143,-6.07229334725308,-6.47987446252384,NA
5,"ld0451",29,17,NA,32,24,24.4,NA,-1.39836694235416,NA,-1.39030238251743,-1.39836694235416,-1.39030238251743,NA,0.212467563442771,NA,0.251410981436457,0.212467563442771,0.251410981436457,NA,-6.80838210398322,NA,-6.75588478501536,-6.18715512203505,-6.1831014183708,NA
6,"ld0451",29,17.2,30,NA,17.2,NA,24,-1.35479569406052,-1.55589714550607,NA,-1.55589714550607,NA,-1.35479569406052,0.422871276622218,-0.548239117662636,NA,-0.548239117662636,NA,0.422871276622218,-7.0773615263153,-6.82969613928588,NA,-6.77429504727857,NA,-6.22608541394246
6,"ld0451",29,17.2,30,NA,17.2,NA,24,-1.35479569406052,-1.55589714550607,NA,-1.55589714550607,NA,-1.35479569406052,0.422871276622218,-0.548239117662636,NA,-0.548239117662636,NA,0.422871276622218,-6.78918255944335,-6.99942345804187,NA,-6.53143375470872,NA,-6.06282784105274
7,"ld0451",29,17.2,32,NA,NA,16.4,24,-1.22758266996507,-1.27296567581289,NA,NA,-1.27296567581289,-1.22758266996507,1.03717758370996,0.818024970012197,NA,NA,0.818024970012197,1.03717758370996,-6.36699326608602,-6.37155981176152,NA,NA,-5.8166609863042,-5.56045210978453
7,"ld0451",29,17.2,32,NA,NA,16.4,24,-1.22758266996507,-1.27296567581289,NA,NA,-1.27296567581289,-1.22758266996507,1.03717758370996,0.818024970012197,NA,NA,0.818024970012197,1.03717758370996,-6.45630207273334,-6.10844900004024,NA,NA,-6.51803866600066,-5.91085744070967
8,"ld0451",29,NA,NA,NA,NA,NA,NA,NA,-1.20731170559145,-1.20731170559145,-1.20731170559145,-1.20731170559145,NA,NA,1.13506521238642,1.13506521238642,1.13506521238642,1.13506521238642,NA,NA,-6.67975223478262,-6.65035501811823,-6.88825913092141,-5.96535867017238,NA
8,"ld0451",29,NA,NA,NA,NA,NA,NA,NA,-1.20731170559145,-1.20731170559145,-1.20731170559145,-1.20731170559145,NA,NA,1.13506521238642,1.13506521238642,1.13506521238642,1.13506521238642,NA,NA,-6.67065535593579,-6.53130855841507,-7.13239025314745,-5.94666653716023,NA
9,"ld0451",29,NA,NA,NA,NA,NA,NA,-1.1679623668029,NA,-1.18417017702976,-1.18417017702976,-1.1679623668029,NA,1.32508150332374,NA,1.24681467398583,1.24681467398583,1.32508150332374,NA,-6.60703137298991,NA,-6.36406332007336,-5.96521746499321,-5.84072389166823,NA
9,"ld0451",29,NA,NA,NA,NA,NA,NA,-1.1679623668029,NA,-1.18417017702976,-1.18417017702976,-1.1679623668029,NA,1.32508150332374,NA,1.24681467398583,1.24681467398583,1.32508150332374,NA,-6.55592536205641,NA,-6.40829657505019,-5.83892373966892,-5.86647638777064,NA
10,"ld0451",29,NA,NA,NA,NA,NA,NA,-1.13631415585212,-1.13631415585212,NA,NA,-1.13631415585212,-1.13631415585212,1.47790937400246,1.47790937400246,NA,NA,1.47790937400246,1.47790937400246,-6.71777386188216,-6.19838342966904,NA,NA,-5.72040334058432,-6.09318315895622
10,"ld0451",29,NA,NA,NA,NA,NA,NA,-1.13631415585212,-1.13631415585212,NA,NA,-1.13631415585212,-1.13631415585212,1.47790937400246,1.47790937400246,NA,NA,1.47790937400246,1.47790937400246,-6.62271209842491,-6.16663473135446,NA,NA,-6.17175841075198,-5.56342952530471
1,"ld0455",29,24.4,30,NA,24.1,24,NA,-1.50507789710986,-1.48280526150073,NA,-1.48280526150073,-1.50507789710986,NA,-0.302835118872163,-0.19528150455131,NA,-0.19528150455131,-0.302835118872163,NA,-6.67817015394074,NA,NA,-5.60239156445932,-5.89298658897756,NA
