"date","samp_session","id","series_temp","treatment","age","temp","z_age","z_lnmass","lnmr","temp_I2"
"2018-04-09",1,"ld0488","ld0488_1_28",29,92,28,-1.107867567732,-0.830990566444791,-6.4035202012536,784
"2018-04-09",1,"ld0488","ld0488_1_32",29,92,32,-1.107867567732,-0.830990566444791,-5.87771868002169,1024
"2018-04-09",1,"ld0488","ld0488_1_32",29,92,32,-1.107867567732,-0.830990566444791,-6.04838429408728,1024
"2018-04-09",1,"ld0489","ld0489_1_28",29,92,28,-1.107867567732,-3.03793488576977,-5.79356642753273,784
"2018-04-09",1,"ld0489","ld0489_1_32",29,92,32,-1.107867567732,-3.03793488576977,-6.08166375283889,1024
"2018-04-09",1,"ld0489","ld0489_1_32",29,92,32,-1.107867567732,-3.03793488576977,-5.762729136883,1024
"2018-04-09",1,"ld0490","ld0490_1_34",23,92,34,-1.107867567732,-0.0486207588355985,-5.9198443196892,1156
"2018-04-09",1,"ld0490","ld0490_1_34",23,92,34,-1.107867567732,-0.0486207588355985,-5.74050339103338,1156
"2018-04-09",1,"ld0490","ld0490_1_26",23,92,26,-1.107867567732,-0.0486207588355985,-6.14988274086298,676
"2018-04-09",1,"ld0490","ld0490_1_26",23,92,26,-1.107867567732,-0.0486207588355985,-6.07577476870926,676
"2018-04-09",1,"ld0492","ld0492_1_34",23,92,34,-1.107867567732,-0.412838911167632,-5.32834780479117,1156
"2018-04-09",1,"ld0492","ld0492_1_26",23,92,26,-1.107867567732,-0.412838911167632,-6.4728155027078,676
"2018-04-09",1,"ld0492","ld0492_1_26",23,92,26,-1.107867567732,-0.412838911167632,-5.98022094688551,676
"2018-04-09",1,"ld0493","ld0493_1_34",29,94,34,-1.05559733570879,-0.19528150455131,-5.71826193478249,1156
"2018-04-09",1,"ld0493","ld0493_1_34",29,94,34,-1.05559733570879,-0.19528150455131,-5.61436233976434,1156
